"","year","state","house.income","labor.pop","unem.rate","min.wage"
"1649",2001,"Wisconsin",45346,3017444,4.3,5.15
"1650",2002,"Wisconsin",45903,3017467,5.3,5.15
"1651",2003,"Wisconsin",46269,3044681,5.8,5.15
"1652",2004,"Wisconsin",45732,3034066,5,5.15
"1653",2005,"Wisconsin",44650,3029179,4.7,5.15
"1654",2006,"Wisconsin",51692,3066484,4.6,5.7
"1655",2007,"Wisconsin",51277,3087839,4.8,6.5
"1656",2008,"Wisconsin",51200,3099608,4.6,6.5
"1657",2009,"Wisconsin",51237,3113291,9.4,6.55
"1658",2010,"Wisconsin",50351,3082061,8.4,7.25
"1659",2011,"Wisconsin",52058,3071377,7.6,7.25
"1660",2012,"Wisconsin",53079,3070074,7,7.25
"1661",2013,"Wisconsin",51726,3077898,6.7,7.25
"1662",2014,"Wisconsin",58080,3077936,5.4,7.25
"1663",2015,"Wisconsin",55425,3084138,4.4,7.25
"1664",2016,"Wisconsin",59817,3110443,3.9,7.25
"1665",2017,"Wisconsin",63482,3122091,3.3,7.25
"1666",2018,"Wisconsin",62629,3106302,3,7.25
"1667",1985,"Wyoming",22081,253895,7,3.35
"1668",1986,"Wyoming",23559,251436,8.7,3.35
"1669",1987,"Wyoming",27590,242984,8,3.35
"1670",1988,"Wyoming",26419,239013,6.3,3.35
"1671",1989,"Wyoming",29521,238557,6.2,3.35
"1672",1990,"Wyoming",29460,237137,5,3.35
"1673",1991,"Wyoming",29050,236823,4.8,3.8
"1674",1992,"Wyoming",30209,239165,5.5,4.25
"1675",1993,"Wyoming",29442,243420,5.4,4.25
"1676",1994,"Wyoming",33140,249785,4.9,4.25
"1677",1995,"Wyoming",31529,253184,4.8,4.25
"1678",1996,"Wyoming",30953,255093,5,4.25
"1679",1997,"Wyoming",33423,256186,4.8,4.75
"1680",1998,"Wyoming",35250,260317,4.8,5.15
"1681",1999,"Wyoming",37248,263810,4.8,5.15
"1682",2000,"Wyoming",39629,265725,3.7,5.15
"1683",2001,"Wyoming",39719,268293,3.8,5.15
"1684",2002,"Wyoming",39763,269453,4,5.15
"1685",2003,"Wyoming",42555,272751,4.4,5.15
"1686",2004,"Wyoming",45397,274688,3.8,5.15
"1687",2005,"Wyoming",44718,279077,3.6,5.15
"1688",2006,"Wyoming",47041,284853,3,5.15
"1689",2007,"Wyoming",48744,290973,2.7,5.15
"1690",2008,"Wyoming",53337,296552,2.8,5.85
"1691",2009,"Wyoming",52470,299961,6.5,6.55
"1692",2010,"Wyoming",52201,301903,6.8,7.25
"1693",2011,"Wyoming",54509,302860,6,7.25
"1694",2012,"Wyoming",57512,303803,5.6,7.25
"1695",2013,"Wyoming",67441,302209,4.7,7.25
"1696",2014,"Wyoming",55690,302865,4.4,7.25
"1697",2015,"Wyoming",60925,301677,4.2,7.25
"1698",2016,"Wyoming",57829,300464,5.6,7.25
"1699",2017,"Wyoming",59536,295906,4.1,7.25
"1700",2018,"Wyoming",62539,294851,4,7.25
