,years,state,labor.pop
418,1994,Illinois,6112726
419,1995,Illinois,6173214
420,1996,Illinois,6244016
421,1997,Illinois,6296315
422,1998,Illinois,6339411
423,1999,Illinois,6463079
424,2000,Illinois,6494429
425,2001,Illinois,6454092
426,2002,Illinois,6341891
427,2003,Illinois,6310520
428,2004,Illinois,6348716
429,2005,Illinois,6410767
430,2006,Illinois,6515687
431,2007,Illinois,6639198
432,2008,Illinois,6652942
433,2009,Illinois,6601620
434,2010,Illinois,6612433
435,2011,Illinois,6567531
436,2012,Illinois,6583689
437,2013,Illinois,6556593
438,2014,Illinois,6516372
439,2015,Illinois,6511797
440,2016,Illinois,6559038
441,2017,Illinois,6485462
442,2018,Illinois,6472193
443,1985,Indiana,2701795
444,1986,Indiana,2740825
445,1987,Indiana,2747749
446,1988,Indiana,2791749
447,1989,Indiana,2850748
448,1990,Indiana,2810678
449,1991,Indiana,2800684
450,1992,Indiana,2860440
451,1993,Indiana,2949646
452,1994,Indiana,3053341
453,1995,Indiana,3122864
454,1996,Indiana,3099954
455,1997,Indiana,3118016
456,1998,Indiana,3121554
457,1999,Indiana,3121742
458,2000,Indiana,3125304
459,2001,Indiana,3143985
460,2002,Indiana,3161709
461,2003,Indiana,3178568
462,2004,Indiana,3165247
463,2005,Indiana,3202215
464,2006,Indiana,3235980
465,2007,Indiana,3202589
466,2008,Indiana,3244790
467,2009,Indiana,3216535
468,2010,Indiana,3175885
469,2011,Indiana,3189011
470,2012,Indiana,3172556
471,2013,Indiana,3193683
472,2014,Indiana,3228524
473,2015,Indiana,3266392
474,2016,Indiana,3331821
475,2017,Indiana,3327615
476,2018,Indiana,3378165
477,1985,Iowa,1423606
478,1986,Iowa,1443125
479,1987,Iowa,1461652
480,1988,Iowa,1489045
481,1989,Iowa,1502484
482,1990,Iowa,1453820
483,1991,Iowa,1470842
484,1992,Iowa,1525309
485,1993,Iowa,1555790
486,1994,Iowa,1575089
487,1995,Iowa,1588738
488,1996,Iowa,1609787
489,1997,Iowa,1600216
490,1998,Iowa,1594041
491,1999,Iowa,1593440
492,2000,Iowa,1594400
493,2001,Iowa,1610634
494,2002,Iowa,1629047
495,2003,Iowa,1607931
496,2004,Iowa,1607438
497,2005,Iowa,1628510
498,2006,Iowa,1655924
499,2007,Iowa,1662155
500,2008,Iowa,1682209
501,2009,Iowa,1677059
502,2010,Iowa,1674411
503,2011,Iowa,1670056
504,2012,Iowa,1660180
505,2013,Iowa,1676565
506,2014,Iowa,1698718
507,2015,Iowa,1700549
508,2016,Iowa,1703164
509,2017,Iowa,1686470
510,2018,Iowa,1701663
511,1985,Kansas,1230529
512,1986,Kansas,1249332
513,1987,Kansas,1264347
514,1988,Kansas,1275408
515,1989,Kansas,1279617
516,1990,Kansas,1272578
517,1991,Kansas,1285549
518,1992,Kansas,1310475
519,1993,Kansas,1328417
520,1994,Kansas,1346332
521,1995,Kansas,1354129
522,1996,Kansas,1367812
523,1997,Kansas,1380868
524,1998,Kansas,1399168
525,1999,Kansas,1406631
526,2000,Kansas,1402606
527,2001,Kansas,1398521
528,2002,Kansas,1419335
529,2003,Kansas,1441065
530,2004,Kansas,1458910
531,2005,Kansas,1458767
532,2006,Kansas,1467553
533,2007,Kansas,1485414
534,2008,Kansas,1493365
535,2009,Kansas,1512572
536,2010,Kansas,1500463
537,2011,Kansas,1498000
538,2012,Kansas,1490808
539,2013,Kansas,1489395
540,2014,Kansas,1494203
541,2015,Kansas,1493782
542,2016,Kansas,1491961
543,2017,Kansas,1483648
544,2018,Kansas,1483633
545,1985,Kentucky,1698511
546,1986,Kentucky,1704885
547,1987,Kentucky,1702424
548,1988,Kentucky,1714898
549,1989,Kentucky,1740171
550,1990,Kentucky,1754564
551,1991,Kentucky,1759884
552,1992,Kentucky,1777326
553,1993,Kentucky,1800303
554,1994,Kentucky,1828635
555,1995,Kentucky,1856613
556,1996,Kentucky,1873508
557,1997,Kentucky,1910330
558,1998,Kentucky,1923021
559,1999,Kentucky,1947152
560,2000,Kentucky,1957400
561,2001,Kentucky,1953834
562,2002,Kentucky,1944682
563,2003,Kentucky,1965881
564,2004,Kentucky,1969935
565,2005,Kentucky,1991726
566,2006,Kentucky,2026144
567,2007,Kentucky,2035493
568,2008,Kentucky,2038225
569,2009,Kentucky,2064847
570,2010,Kentucky,2065023
571,2011,Kentucky,2061500
572,2012,Kentucky,2060084
573,2013,Kentucky,2055895
574,2014,Kentucky,2006518
575,2015,Kentucky,1979641
576,2016,Kentucky,2015645
577,2017,Kentucky,2049909
578,2018,Kentucky,2052876
579,1985,Louisiana,1970579
580,1986,Louisiana,1973584
581,1987,Louisiana,1950906
582,1988,Louisiana,1926370
583,1989,Louisiana,1887656
584,1990,Louisiana,1866683
585,1991,Louisiana,1904952
586,1992,Louisiana,1924722
587,1993,Louisiana,1909259
588,1994,Louisiana,1951910
589,1995,Louisiana,1963728
590,1996,Louisiana,1989419
591,1997,Louisiana,2007671
592,1998,Louisiana,2029167
593,1999,Louisiana,2025623
594,2000,Louisiana,2026392
595,2001,Louisiana,2027220
596,2002,Louisiana,2013652
597,2003,Louisiana,2024914
598,2004,Louisiana,2030415
599,2005,Louisiana,2078215
600,2006,Louisiana,2001297
601,2007,Louisiana,2026793
602,2008,Louisiana,2064692
603,2009,Louisiana,2067873
604,2010,Louisiana,2084462
605,2011,Louisiana,2080525
606,2012,Louisiana,2089644
607,2013,Louisiana,2101974
608,2014,Louisiana,2141519
609,2015,Louisiana,2150050
610,2016,Louisiana,2123690
611,2017,Louisiana,2108493
612,2018,Louisiana,2114675
613,1985,Maine,555178
614,1986,Maine,565923
615,1987,Maine,585565
616,1988,Maine,598183
617,1989,Maine,612636
618,1990,Maine,631993
619,1991,Maine,640500
620,1992,Maine,641459
621,1993,Maine,630159
622,1994,Maine,627061
623,1995,Maine,639131
624,1996,Maine,654553
625,1997,Maine,658175
626,1998,Maine,655518
627,1999,Maine,668939
628,2000,Maine,677489
629,2001,Maine,674958
630,2002,Maine,678559
631,2003,Maine,685165
632,2004,Maine,685989
633,2005,Maine,695280
634,2006,Maine,700747
635,2007,Maine,699753
636,2008,Maine,701930
