,years,state,,
1599,1985,West Virginia,15983,16
1600,1986,West Virginia,16464,16.5
1601,1987,West Virginia,17207,17.2
1602,1988,West Virginia,19353,19.4
1603,1989,West Virginia,21677,21.7
1604,1990,West Virginia,22137,22.1
1605,1991,West Virginia,23147,23.1
1606,1992,West Virginia,20271,20.3
1607,1993,West Virginia,22421,22.4
1608,1994,West Virginia,23564,23.6
1609,1995,West Virginia,24880,24.9
1610,1996,West Virginia,25247,25.2
1611,1997,West Virginia,27488,27.5
1612,1998,West Virginia,26704,26.7
1613,1999,West Virginia,29297,29.3
1614,2000,West Virginia,29411,29.4
1615,2001,West Virginia,29673,29.7
1616,2002,West Virginia,29359,29.4
1617,2003,West Virginia,32763,32.8
1618,2004,West Virginia,33373,33.4
1619,2005,West Virginia,36445,36.4
1620,2006,West Virginia,38419,38.4
1621,2007,West Virginia,42091,42.1
1622,2008,West Virginia,37994,38
1623,2009,West Virginia,40490,40.5
1624,2010,West Virginia,42777,42.8
1625,2011,West Virginia,41821,41.8
1626,2012,West Virginia,43553,43.6
1627,2013,West Virginia,43069,43.1
1628,2014,West Virginia,39552,39.6
1629,2015,West Virginia,42824,42.8
1630,2016,West Virginia,44354,44.4
1631,2017,West Virginia,46957,47
1632,2018,West Virginia,50573,50.6
1633,1985,Wisconsin,23246,23.2
1634,1986,Wisconsin,26430,26.4
1635,1987,Wisconsin,26369,26.4
1636,1988,Wisconsin,29575,29.6
1637,1989,Wisconsin,29123,29.1
1638,1990,Wisconsin,30711,30.7
1639,1991,Wisconsin,31133,31.1
1640,1992,Wisconsin,33308,33.3
1641,1993,Wisconsin,31766,31.8
1642,1994,Wisconsin,35388,35.4
1643,1995,Wisconsin,40955,41
1644,1996,Wisconsin,40001,40
1645,1997,Wisconsin,39595,39.6
1646,1998,Wisconsin,41327,41.3
1647,1999,Wisconsin,45667,45.7
1648,2000,Wisconsin,45088,45.1
1649,2001,Wisconsin,45346,45.3
1650,2002,Wisconsin,45903,45.9
1651,2003,Wisconsin,46269,46.3
1652,2004,Wisconsin,45732,45.7
1653,2005,Wisconsin,44650,44.7
1654,2006,Wisconsin,51692,51.7
1655,2007,Wisconsin,51277,51.3
1656,2008,Wisconsin,51200,51.2
1657,2009,Wisconsin,51237,51.2
1658,2010,Wisconsin,50351,50.4
1659,2011,Wisconsin,52058,52.1
1660,2012,Wisconsin,53079,53.1
1661,2013,Wisconsin,51726,51.7
1662,2014,Wisconsin,58080,58.1
1663,2015,Wisconsin,55425,55.4
1664,2016,Wisconsin,59817,59.8
1665,2017,Wisconsin,63482,63.5
1666,2018,Wisconsin,62629,62.6
1667,1985,Wyoming,22081,22.1
1668,1986,Wyoming,23559,23.6
1669,1987,Wyoming,27590,27.6
1670,1988,Wyoming,26419,26.4
1671,1989,Wyoming,29521,29.5
1672,1990,Wyoming,29460,29.5
1673,1991,Wyoming,29050,29.1
1674,1992,Wyoming,30209,30.2
1675,1993,Wyoming,29442,29.4
1676,1994,Wyoming,33140,33.1
1677,1995,Wyoming,31529,31.5
1678,1996,Wyoming,30953,31
1679,1997,Wyoming,33423,33.4
1680,1998,Wyoming,35250,35.3
1681,1999,Wyoming,37248,37.2
1682,2000,Wyoming,39629,39.6
1683,2001,Wyoming,39719,39.7
1684,2002,Wyoming,39763,39.8
1685,2003,Wyoming,42555,42.6
1686,2004,Wyoming,45397,45.4
1687,2005,Wyoming,44718,44.7
1688,2006,Wyoming,47041,47
1689,2007,Wyoming,48744,48.7
1690,2008,Wyoming,53337,53.3
1691,2009,Wyoming,52470,52.5
1692,2010,Wyoming,52201,52.2
1693,2011,Wyoming,54509,54.5
1694,2012,Wyoming,57512,57.5
1695,2013,Wyoming,67441,67.4
1696,2014,Wyoming,55690,55.7
1697,2015,Wyoming,60925,60.9
1698,2016,Wyoming,57829,57.8
1699,2017,Wyoming,59536,59.5
1700,2018,Wyoming,62539,62.5
