,years,state,,
324,2002,Georgia,42939,42.9
325,2003,Georgia,42438,42.4
326,2004,Georgia,40984,41
327,2005,Georgia,45926,45.9
328,2006,Georgia,49344,49.3
329,2007,Georgia,48641,48.6
330,2008,Georgia,46227,46.2
331,2009,Georgia,43340,43.3
332,2010,Georgia,44117,44.1
333,2011,Georgia,45973,46
334,2012,Georgia,48121,48.1
335,2013,Georgia,46992,47
336,2014,Georgia,49555,49.6
337,2015,Georgia,50768,50.8
338,2016,Georgia,53527,53.5
339,2017,Georgia,57985,58
340,2018,Georgia,55821,55.8
341,1985,Hawaii,28961,29
342,1986,Hawaii,29003,29
343,1987,Hawaii,35022,35
344,1988,Hawaii,33024,33
345,1989,Hawaii,35035,35
346,1990,Hawaii,38921,38.9
347,1991,Hawaii,37246,37.2
348,1992,Hawaii,42113,42.1
349,1993,Hawaii,42662,42.7
350,1994,Hawaii,42255,42.3
351,1995,Hawaii,42851,42.9
352,1996,Hawaii,41772,41.8
353,1997,Hawaii,40934,40.9
354,1998,Hawaii,40827,40.8
355,1999,Hawaii,44504,44.5
356,2000,Hawaii,51546,51.5
357,2001,Hawaii,47439,47.4
358,2002,Hawaii,47303,47.3
359,2003,Hawaii,51834,51.8
360,2004,Hawaii,56242,56.2
361,2005,Hawaii,59586,59.6
362,2006,Hawaii,60470,60.5
363,2007,Hawaii,64022,64
364,2008,Hawaii,61521,61.5
365,2009,Hawaii,55649,55.6
366,2010,Hawaii,59539,59.5
367,2011,Hawaii,59047,59
368,2012,Hawaii,56263,56.3
369,2013,Hawaii,64235,64.2
370,2014,Hawaii,71223,71.2
371,2015,Hawaii,64514,64.5
372,2016,Hawaii,72133,72.1
373,2017,Hawaii,73599,73.6
374,2018,Hawaii,80108,80.1
375,1985,Idaho,20761,20.8
376,1986,Idaho,20749,20.7
377,1987,Idaho,20755,20.8
378,1988,Idaho,23450,23.5
379,1989,Idaho,24654,24.7
380,1990,Idaho,25305,25.3
381,1991,Idaho,26116,26.1
382,1992,Idaho,27704,27.7
383,1993,Idaho,31010,31
384,1994,Idaho,31536,31.5
385,1995,Idaho,32676,32.7
386,1996,Idaho,34709,34.7
387,1997,Idaho,33404,33.4
388,1998,Idaho,36680,36.7
389,1999,Idaho,35800,35.8
390,2000,Idaho,37611,37.6
391,2001,Idaho,38241,38.2
392,2002,Idaho,37715,37.7
393,2003,Idaho,42372,42.4
394,2004,Idaho,44358,44.4
395,2005,Idaho,44176,44.2
396,2006,Idaho,46213,46.2
397,2007,Idaho,49184,49.2
398,2008,Idaho,47420,47.4
399,2009,Idaho,46778,46.8
400,2010,Idaho,47050,47.1
401,2011,Idaho,47459,47.5
402,2012,Idaho,47922,47.9
403,2013,Idaho,48467,48.5
404,2014,Idaho,53438,53.4
405,2015,Idaho,51624,51.6
406,2016,Idaho,56564,56.6
407,2017,Idaho,59497,59.5
408,2018,Idaho,58728,58.7
409,1985,Illinois,24870,24.9
410,1986,Illinois,26511,26.5
411,1987,Illinois,27084,27.1
412,1988,Illinois,29524,29.5
413,1989,Illinois,31300,31.3
414,1990,Illinois,32542,32.5
415,1991,Illinois,31884,31.9
416,1992,Illinois,31551,31.6
417,1993,Illinois,32857,32.9
418,1994,Illinois,35081,35.1
419,1995,Illinois,38071,38.1
420,1996,Illinois,39554,39.6
421,1997,Illinois,41283,41.3
422,1998,Illinois,43178,43.2
423,1999,Illinois,46330,46.3
424,2000,Illinois,46064,46.1
425,2001,Illinois,46171,46.2
426,2002,Illinois,42710,42.7
427,2003,Illinois,45153,45.2
428,2004,Illinois,46077,46.1
429,2005,Illinois,48398,48.4
430,2006,Illinois,48671,48.7
431,2007,Illinois,52506,52.5
432,2008,Illinois,53254,53.3
433,2009,Illinois,52870,52.9
434,2010,Illinois,50728,50.7
435,2011,Illinois,50637,50.6
436,2012,Illinois,51738,51.7
437,2013,Illinois,53937,53.9
438,2014,Illinois,54916,54.9
439,2015,Illinois,60413,60.4
440,2016,Illinois,61386,61.4
441,2017,Illinois,65969,66
442,2018,Illinois,70145,70.1
443,1985,Indiana,22675,22.7
444,1986,Indiana,22728,22.7
445,1987,Indiana,22519,22.5
446,1988,Indiana,26293,26.3
447,1989,Indiana,25898,25.9
448,1990,Indiana,26928,26.9
449,1991,Indiana,27089,27.1
450,1992,Indiana,28530,28.5
451,1993,Indiana,29475,29.5
452,1994,Indiana,27858,27.9
453,1995,Indiana,33385,33.4
454,1996,Indiana,35147,35.1
455,1997,Indiana,38889,38.9
456,1998,Indiana,39731,39.7
457,1999,Indiana,40838,40.8
458,2000,Indiana,40865,40.9
459,2001,Indiana,40379,40.4
460,2002,Indiana,41047,41
461,2003,Indiana,42425,42.4
462,2004,Indiana,42329,42.3
463,2005,Indiana,42437,42.4
464,2006,Indiana,45407,45.4
465,2007,Indiana,47453,47.5
466,2008,Indiana,46520,46.5
467,2009,Indiana,44305,44.3
468,2010,Indiana,46139,46.1
469,2011,Indiana,44445,44.4
470,2012,Indiana,46158,46.2
471,2013,Indiana,49455,49.5
472,2014,Indiana,48060,48.1
473,2015,Indiana,51983,52
474,2016,Indiana,56094,56.1
475,2017,Indiana,58767,58.8
476,2018,Indiana,59892,59.9
477,1985,Iowa,20927,20.9
478,1986,Iowa,22459,22.5
479,1987,Iowa,22190,22.2
480,1988,Iowa,24305,24.3
481,1989,Iowa,26265,26.3
482,1990,Iowa,27288,27.3
483,1991,Iowa,28553,28.6
484,1992,Iowa,28743,28.7
485,1993,Iowa,28663,28.7
486,1994,Iowa,33079,33.1
487,1995,Iowa,35519,35.5
488,1996,Iowa,33209,33.2
489,1997,Iowa,33783,33.8
490,1998,Iowa,37019,37
491,1999,Iowa,41098,41.1
492,2000,Iowa,40991,41
493,2001,Iowa,40976,41
494,2002,Iowa,41049,41
495,2003,Iowa,41384,41.4
496,2004,Iowa,43391,43.4
497,2005,Iowa,46500,46.5
498,2006,Iowa,48126,48.1
499,2007,Iowa,48908,48.9
500,2008,Iowa,50142,50.1
501,2009,Iowa,50721,50.7
502,2010,Iowa,49016,49
503,2011,Iowa,50219,50.2
504,2012,Iowa,53442,53.4
505,2013,Iowa,60156,60.2
506,2014,Iowa,57810,57.8
507,2015,Iowa,60855,60.9
508,2016,Iowa,59094,59.1
509,2017,Iowa,63467,63.5
510,2018,Iowa,68718,68.7
511,1985,Kansas,22788,22.8
512,1986,Kansas,23926,23.9
513,1987,Kansas,25583,25.6
514,1988,Kansas,25566,25.6
515,1989,Kansas,26862,26.9
516,1990,Kansas,29917,29.9
517,1991,Kansas,29295,29.3
518,1992,Kansas,30346,30.3
519,1993,Kansas,29770,29.8
520,1994,Kansas,28322,28.3
521,1995,Kansas,30341,30.3
522,1996,Kansas,32585,32.6
523,1997,Kansas,36471,36.5
524,1998,Kansas,36711,36.7
525,1999,Kansas,37348,37.3
526,2000,Kansas,41059,41.1
527,2001,Kansas,41415,41.4
528,2002,Kansas,42619,42.6
529,2003,Kansas,44232,44.2
530,2004,Kansas,41066,41.1
531,2005,Kansas,42027,42
532,2006,Kansas,45552,45.6
533,2007,Kansas,48497,48.5
534,2008,Kansas,47877,47.9
535,2009,Kansas,44717,44.7
536,2010,Kansas,46054,46.1
537,2011,Kansas,46147,46.1
538,2012,Kansas,50003,50
539,2013,Kansas,47820,47.8
540,2014,Kansas,53444,53.4
541,2015,Kansas,54865,54.9
542,2016,Kansas,56810,56.8
543,2017,Kansas,56900,56.9
544,2018,Kansas,63938,63.9
545,1985,Kentucky,17361,17.4
546,1986,Kentucky,19874,19.9
547,1987,Kentucky,20673,20.7
548,1988,Kentucky,19907,19.9
549,1989,Kentucky,23283,23.3
550,1990,Kentucky,24780,24.8
551,1991,Kentucky,23764,23.8
552,1992,Kentucky,23485,23.5
553,1993,Kentucky,24376,24.4
554,1994,Kentucky,26595,26.6
555,1995,Kentucky,29810,29.8
556,1996,Kentucky,32413,32.4
557,1997,Kentucky,33452,33.5
558,1998,Kentucky,36252,36.3
559,1999,Kentucky,33738,33.7
560,2000,Kentucky,36265,36.3
561,2001,Kentucky,38437,38.4
562,2002,Kentucky,36762,36.8
563,2003,Kentucky,36936,36.9
564,2004,Kentucky,35610,35.6
565,2005,Kentucky,36699,36.7
566,2006,Kentucky,39485,39.5
567,2007,Kentucky,39452,39.5
568,2008,Kentucky,41148,41.1
569,2009,Kentucky,42664,42.7
570,2010,Kentucky,41104,41.1
571,2011,Kentucky,39856,39.9
572,2012,Kentucky,41086,41.1
573,2013,Kentucky,44879,44.9
574,2014,Kentucky,42786,42.8
575,2015,Kentucky,42387,42.4
576,2016,Kentucky,45369,45.4
577,2017,Kentucky,49672,49.7
578,2018,Kentucky,54555,54.6
579,1985,Louisiana,21179,21.2
580,1986,Louisiana,20890,20.9
581,1987,Louisiana,21349,21.3
582,1988,Louisiana,20497,20.5
583,1989,Louisiana,22861,22.9
584,1990,Louisiana,22405,22.4
585,1991,Louisiana,25299,25.3
586,1992,Louisiana,25439,25.4
587,1993,Louisiana,26312,26.3
588,1994,Louisiana,25676,25.7
589,1995,Louisiana,27949,27.9
590,1996,Louisiana,30262,30.3
591,1997,Louisiana,33260,33.3
592,1998,Louisiana,31735,31.7
593,1999,Louisiana,32654,32.7
594,2000,Louisiana,30718,30.7
595,2001,Louisiana,33322,33.3
596,2002,Louisiana,34008,34
597,2003,Louisiana,33507,33.5
598,2004,Louisiana,36429,36.4
599,2005,Louisiana,37236,37.2
600,2006,Louisiana,36488,36.5
601,2007,Louisiana,41313,41.3
602,2008,Louisiana,39563,39.6
603,2009,Louisiana,45433,45.4
604,2010,Louisiana,39300,39.3
605,2011,Louisiana,40658,40.7
606,2012,Louisiana,39085,39.1
607,2013,Louisiana,46425,46.4
608,2014,Louisiana,42406,42.4
609,2015,Louisiana,45922,45.9
610,2016,Louisiana,42196,42.2
